code,nama,office
BI01,GUDANG BARATA,070300
BMS,PT. BERLIAN MANYAR SEJAHTERA,070300
DMT6,PT DOVECHEM MASPION TERMINAL (TANGKI T-06 T-32),070300
ELOG,PT. EASTERN LOGISTIC,070300
FAII,FACTORY II ( GUDANG TERBUKA MILIK OMYA INDONESIA,070300
FIT1,Gudang PT Fertilizer Inti Technology,070300
GAK5,GUDANG 5 PT AKR CORPORINDO,070300
GCON,PT CONTINENTAL,070300
GDAT,Gudang Timbun Agro Tradisi,070300
GDEPE,PT ECO PRIMA ENERGI,070300
GHAS,PT. HARUM ALAM SEGAR,070300
GIBW,Gudang PT Indonesia Bike Works,070300
GOI2,PT. OMYA INDONESIA,070300
GSM1,PT. SUPARMA TBK,070300
IBWS,PT INDONESIA BIKE WORKS,070300
JP01,Gudang Terbuka PT Java Pasific,070300
KIAS,PT. KARYAINDAH ALAM SEJAHTERA,070300
LBM1,PT. BERKAH KAWASAN MANYAR SEJAHTERA,070300
LTPG,Lapangan Terbuka PT Petrokimia Gresik,070300
PAG1,BITUMEN PLANT GRESIK,070300
PAGE,PERAIRAN GRESIK,070300
PAP1,Gudang Milik PT. Aplus Pacific,070300
PEJA,PT. PETRO JORDAN ABADI,070300
PGR1,PT. SMELTING,070300
PGR2,PT. DOK PANTAI LAMONGAN,070300
PIBW,PT INDONESIA BIKE WORKS,070300
PKGA,PT KNAUF GYPSUM INDONESIA,070300
PKGI,PT KNAUF GYPSUM INDONESIA,070300
PKGS,PT. PETROKIMIA GRESIK,070300
PKP2,PT KNAUF PLASTERBOARD INDONESIA,070300
PKP3,PT KNAUF PLASTERBOARD INDONESIA,070300
PKPI,PT KNAUF PLASTERBOARD INDONESIA,070300
PKPL,PT KNAUF PLASTERBOARD INDONESIA,070300
PONS,PT. PETRO OXO NUSANTARA GRESIK,070300
PPJB,PT PETROJAYA BORAL,070300
PPWG,PT PETRO WIDADA GRESIK,070300
PTPB,PT PETROJAYA BORAL,070300
PWID,PT. PETROWIDADA GRESIK,070300
SFG1,PT. FFGI ( SILO),070300
SFGI,PT FFGI (SILO NO.102-103-104-108-110-111-115),070300
SIAM,TANGKI PT TPC INDONESIA,070300
SIMA,PT. SIAM MASPION GRESIK,070300
SMGS,PT. SEMEN GRESIK,070300
TIJ1,PT. DOVECHEM MASPION TERMINAL (TANKI 03 DAN 04),070300
TKB1,TANGKI B MILIK PT. ASPAL MUTUAL SARANA,070300
TMT1,PT. MULTI TRADING PRATAMA,070300
TTP1,TANGKI A DAN B MILIK PT. ASPAL MULTI SARANA,070300
TUC1,PT. UNICHEMCANDI INDONESIA,070300
WNI,PT WILMAR NABATI INDONESIA,070300
GDSI,Gd. Semen Indonesia,070400
GHCI,Gudang Holcim Indonesia,070400
GTPP,TPPI,070400
GTTP,TPPI,070400
TTU,TERMINAL TRANSIT UTAMA,070400
G003,G003,070500
GAPL,Gudang Angkasa Pura Logistik,070500
GPOS,Gudang PT. Pos Indonesia,070500
JEXP,Gudang PT Jasa Angkasa Semesta Ekspor,070500
JIMP,Gudang PT Jasa Angkasa Semesta Impor,070500
03,Hanggar KB Bentoel,070600
MLG1,LAPANGAN PENIMBUNAN BANDARA ABD SALEH-MALANG,070600
1100,KALBUT SITUBONDO,071100
DABN,DABN PROBOLINGGO,071200
SIA,PT. SEMEN IMASCO ASIATIC,071200
CJI,Cheil Jedang Indonesia,071300
CMWI,Central Motor Wheel Indonesia,071300
KITE,KITE,071300
PCK,Gudang Panverta Cakra Kencana,071300
TFJ,Gudang Tirta Fresindo Jaya,071300
YMPI,Yamaha Musical Product Indonesia,071300
APNR,GUDANG IMPOR PT ANGKASA PURA LOGISTIK,080100
BASS,GUDANG IMPOR PT BALI SURYA SENTOSA,080100
CEXP,GUDANG EKSPOR PT JASA ANGKASA SEMESTA. TBK,080100
CIMP,GUDANG IMPOR PT JASA ANGKASA SEMESTA. TBK,080100
EMLC,GUDANG EKSPOR KHRISNA MULTI LINTAS CEMERLANG,080100
GTPP,GUDANG TPP KPPBC TMP NGURAH RAI,080100
IMBP,GUDANG IMPOR PT BALI PANDAWA KENCANA UTAMA,080100
IMLC,GUDANG IMPOR KHRISNA MULTI LINTAS CEMERLANG,080100
IPOS,GUDANG IMPOR POS INDONESIA KANTOR DENPASAR,080100
TPB,GUDANG TPB,080100
BOA,BENOA,080200
CBW,CELUKAN BAWANG,080200
DPSBOA,BENOA,080200
NDGI,PT Nusa Dua Graha International,080200
NDI,Nusa Dua Indonesia,080200
NDIN,Nusa Dua Indonesia,080200
NGI,Gudang PT Nusa Dua Graha International,080200
PDPS,Pos Denpasar,080200
PLB1,PELABUHAN BENOA,080200
G001,GROUP 001,080300
GD04,TPS ANGKASA PURA,080300
GKEK,GKEK,080300
LKP,Luar Kawasan Pabean,080300
LP01,Lapangan Penimbunan Lembar,080300
MGPA,PU MGPA,080300
PKHY,SITE PROJECT PELABUHAN KAYANGAN,080300
AMNT,Gudang PT. Amman Mineral Nusa Tenggara,080400
GDBD,Gudang Badas,080400
GDBM,Gudang Bima,080400
GDUI,GUDANG PT. UNISERV INDONESIA - SUMBAWA BARAT NTB,080400
GSMS,Gudang PT. Sukses Mantap Sejahtera,080400
0001,Tenau,080500
0002,Gudang Tenau,080500
0003,El Tari,080500
0004,Waingapu,080500
3,ALAK TENAU,080500
01,Gudang Penimbunan Ende,080700
IPPI,PELABUHAN IPPI ENDE,080700
LBJ,BANDAR UDARA KOMODO,080700
LSAY,PELABUHAN L SAY MAUMERE,080700
TSMU,TANGKI SARANA MBAY UTAMA,080700
XMOF,TEMPAT LAIN YANG DIPERSAMAKAN DENGAN TPS,080700
BOA,BENOA,081200
CBW,CELUKAN BAWANG,081200
GDIM,GUDANG IMPORTIR,081400
GDIMP,GUDANG IMPORTIR,081400
PLBN,PLBN,081400
TL,TEMPAT LAIN,081400
DAPK,DERMAGA PELABUHAN KIJING,090100
GAPK,GUDANG ANGKASA PURA KARGO,090100
GILK,GUDANG IMPOR LUAR KAWASAN,090100
GIPK,PELABUHAN KIJING,090100
GIPP,GUDANG IMPOR PELABUHAN PONTIANAK,090100
GP001,Group Gudang 01,090100
GPOS,Group Gudang Kantor Pos,090100
KPLB,Kantor Pos Lalu Bea,090100
0200,GUDANG ENTIKONG,090200
GETK,GUDANG ENTIKONG,090200
PLBNETK,PLBN ENTIKONG,090200
plbnetk,PLBN ENTIKONG,090200
G001,Gudang Kawasan Pabean,090400
G002,Gudang Luar Kawasan Pabean,090400
G1,GUDANG 1,090400
Gd1,Kawasan Pabean,090400
Gudang Luar Kawasan Pabean,Gudang Luar Kawasan Pabean,090400
Gudang1,Kawasan Pabean,090400
EKSP,LAP./GUDANG MILIK EKSPORTIR,090500
IMPO,LAP./GUDANG MILIK IMPORTIR,090500
SIN1,PELABUHAN SINTETE,090500
SIN2,PPLB ARUK,090500
002,GUDANG IMPORTIR,090700
0200,PELABUHAN BAGENDANG,090700
0300,GUDANG IMPORTIR,090700
0400,KAWASAN BERIKAT,090700
200,Pelabuhan Bagendang,090700
IDSMQ,SAMPIT,090700
KB,KAWASAN BERIKAT,090700
KB1,SUKAJADI SAWIT MEKAR,090700
KB2,SINARJAYA INTI MULYA,090700
002,LUAR KAWASAN PABEAN,090800
CBU,PT. Citra Borneo Utama,090800
KBCBU,KB Citra Borneo Utama,090800
102,Diluar Kawasan Pabean,090900
GDIM,Gudang Importir,090900
JETTYBERINGIN,JETTY BERINGIN,090900
JETTYPELINDO3,JETTY PELINDO III,090900
IDNB,IDNBF,091000
idnb,IDNBF,091000
GILK,GUDANG IMPOR LUAR KAWASAN,092000
TPE1,Tempat Penimbunan Ekspor,092000
TPSBRI1,TPS Bukit Raya Indah,092000
WHS1,PT Wana Hijau Semesta,092000
WRT1,Dermaga I Wirata Daya BP - Sentimok,092000
WRT2,Dermaga II Wirata Daya BP - Sentimok,092000
AS,PABRIK PT ATA SURYA - MANTUIL,100100
ASAM,ASAM-ASAM,100100
ASD,ADDSD,100100
BDJ,SAMSUDIN NOOR,100100
G001,GROUP 001,100100
GMRP,PT GUNUNG MERANTI RAYA PLYWOOD,100100
HEND,GUDANG PT.HENDRATNA,100100
IDDS,GUDANG PT. DAYA SAKTI - JELAPAT DS. TAMBAN,100100
IMPG,Gudang Importir,100100
PTAS,PT ATA SURYA,100100
SNOR,BANDARA SAMSUDIN NOOR,100100
TPB1,TPS Banjarmasin,100100
TRIS,GUDANG A TRISAKTI,100100
TRP,LOKASI PABRIK TRP JELAPAT,100100
WILL,WILAYAH LUAR PELABUHAN,100100
G001,G001,100200
IDBTW,BATULICIN,100200
IDKBU,KOTABARU,100200
IDPL,PULAU LAUT,100200
IDPUT,PULAU LAUT,100200
IDTJ,Tarjun,100200
SDOI,SIME DARBY OILS INDONESIA,100200
SDOPLR,SDOPLR,100200
SMART,SMART TBK.,100200
WBTL,BATU LICIN ,100200
idkb,kotabaru,100200
BATU,TG.BATU,100300
FDX1,GUDANG FEDEX EXPRESS INTERNATIONAL,100300
GAPU,ANGKASA PURA I,100300
GDHL,GUDANG DHL,100300
KARO,KARIANGAU,100300
SEMA,SEMAYANG,100300
A001,KAWASAN PABEAN,100500
A002,LUAR KAWASAN PABEAN,100500
A003,Palaran Blok E slot 30-35,100500
G001,KAWASAN PABEAN,100500
G002,LUAR KAWASAN PABEAN,100500
G003,Palaran Blok E slot 30-35,100500
BNTG,GUDANG BONTANG,100600
BTG,GUDANG BONTANG,100600
EN02,GUDANG ENERGI UNGGUL KB,100600
EN03,GUDANG ENERGI UNGGUL PLB,100600
GDBNTG,GUDANG BONTANG,100600
GROUP BNTG,GROUP GUDANG BONTANG,100600
bntg,GUDANG BONTANG,100600
1,TARAKAN,100800
99,TARAKAN,100800
BRAU,BERAU,100800
BRAU1,BERAU,100800
GBDJG,BERAU,100800
T1,12,100800
TARAKAN,TARAKAN,100800
TRKN,TARAKAN,100800
BAP SBT,GB BAP SBT,100900
BAPNNK,BAP NUNUKAN,100900
BAPSBT,BAP SEBATIK,100900
BSA NUNUKAN,BSA NUNUKAN,100900
BSA Sebatik,BSA Sebatik,100900
BSASBT1,GB BSA Sebatik 1,100900
CTSI,GB CTSI,100900
GB BSA Sebatik,GB BSA Sebatik,100900
LBW,LONG BAWAN,100900
NNK,NUNUKAN,100900
SBB NNK,SBB NUNUKAN,100900
SBG,SEMBAKUNG,100900
SBK,SEBUKU,100900
SBS,SEBAKIS,100900
SBT,SEBATIK,100900
SBT1,Sebatik,100900
SBTK,SEBATIK,100900
SBU,SEBAUNG,100900
SDB NNK,GB SDB NNK,100900
SGRS,SEIMENGGARIS,100900
SMN,Sungai Manurung,100900
SMR,SUNGAI MANURUNG,100900
SN,SUNGAI NYAMUK,100900
SNK,SIANAK,100900
SPC,SUNGAI PANCANG,100900
STW,Sei Taiwan,100900
SUL,Sungai Ular,100900
seba,-,100900
0001,GUDANG KPC,101000
0002,LUAR KAWASAN PABEAN,101000
0004,KPC LUBUK TUTUNG,101000
0005,PELABUHAN TANJUNG BARA,101000
0006,KAWASAN BERIKAT PT PSS,101000
03,PELABUHAN MALOY,101000
BDR,BANDARA SULTAN HASANUDDIN,110100
CYH,KAWASAN GD. 104-105,110100
CYS,KAWASAN GD. 101-103,110100
EPFM,Eastern Pearl Flour Mills,110100
G104,PANGKALAN SOEKARNO / 104,110100
GBMT,GUDANG BERIKAT,110100
GMNP,MAKASSAR NEW PORT,110100
GPHT,PANGKALAN HATTA / CONTAINER YARD,110100
KBR,KAWASAN BERIKAT,110100
LKP,LUAR KAWASAN PABEAN,110100
TPP,TEMPAT PENIMBUNAN PABEAN,110100
002,PELABUHAN GARONGKONG BARRU,110300
BLG,KAWASAN BERIKAT PT BIOTA LAUT GANGGANG,110300
BSU,STORAGE TANK PT. BSU PAREPARE,110300
BSU1,STORAGE TANK PT. BSU BELANG-BELANG,110300
DKPMMJ,Diluar Kawasan Pabean Mamuju,110300
DKPPSBM,Diluar Kawasan Pabean Pabrik Semen Bosowa Maros,110300
KON,KON,110300
MTP,STORAGE TANK PT.MTP,110300
PSI,KAWASAN BERIKAT PT. PHILLIPS SEAFOODS INDONESIA,110300
0002,KB PT Bumi Mineral Sulawesi,110400
0004,Luar Kawasan Pabean,110400
BLTG,BALANTANG,110400
KBMS,Kawasan Berikat PT BMS,110400
LKPB,LUAR KAWASAN PABEAN,110400
LKPN,LUAR KAWASAN PABEAN,110400
MGKS,MANGKASA POINT,110400
GTPI,Tempat Penimbunan Importir,110600
PKNP,TERMINAL PETIKEMAS KENDARI NEW PORT,110600
TPBB,TANGKI PERTAMINA BAU-BAU,110600
TPI,TEMPAT PENIMBUNAN IMPORTIR,110600
pknp,TPS KNP ,110600
GI,Gudang Importir,110800
GUIM,Gudang Importir,110800
MMJU,Mamuju,110800
OKE,Tes Gudang,110800
PALU,Palu,110800
PLNO,Pelabuhan Pelindo Pantoloan,110800
PSKY,Tangki darat PT. TANJUNG SARANA LESTARI,110800
PTLN,Pantoloan,110800
TLON,PT Toloan,110800
TPI,Tempat Penimbunan Importir,110900
TPI01,Tempat Penimbunan Importir Morut,110900
TPI02,Tempat Penimbunan Importir,110900
LUW,Luwuk,111000
AKR,PT AKR CORPORINDO TBK,111100
AMR,PT. AGRO MAKMUR RAYA,111100
BMM,TANGKI ASPAL PT. BERKAH MULIA MANDIRI,111100
DMG3,DERMAGA 3 PT PELINDO IV TERMINAL PETIKEMAS BITUNG,111100
DPI,PT DELTA PASIFIC INDOTUNA,111100
GBSA,Gudang PT Badannu Sebatik Abadi,111100
GD01,GUDANG CFS,111100
GMNS,GUDANG PT MULTI NABATI,111100
GNCI,GUDANG NUSANTARA COCONUTS INTERNATIONAL,111100
IJB,PT INDOMALAY JAYA BERSAMA,111100
LAP,Pelindo,111100
LAP1,Lapangan Kontainer,111100
MNS,PT. MULTI NABATI SULAWESI,111100
PCD,GUDANG PACEDA,111100
SIP,PT. SALIM IVOMAS PRATAMA TBK.,111100
SLM,PT SONOK LESTARI MAS,111100
SMS,PT. SAMUDRA MANDIRI SENTOSA,111100
SPFI,PT. SINAR PURE FOODS INTERNATIONAL,111100
TSBU,TANKI SARANA BITUNG UTAMA,111100
0001,GUDANG IMPORTIR,111200
0004,AMURANG,111200
0006,TPS KANTOR POS,111200
1,GUDANG IMPORTIR,111200
2,TPS KANTOR POS,111200
AP1,PT Angkasa pura 1,111200
BB1,PLTA Bone Bolango,111300
BMSJ,Gudang Biomasa Jaya,111300
BNBL,PLTMH Bone Bolango Energi,111300
G03,Grup 3,111300
GDBS,Terminal Aspal Curah BSU,111300
GDPG,Gudang Pabrik Gula Gorontalo,111300
GR03,Gorontalo 03,111300
GTO,Gorontalo,111300
MR1,Depo Anggrek,111300
MR3,Pelabuhan Marisa,111300
MRS,Pelabuhan Marisa Maleo,111300
TM1,PLTU TANJUNG KARANG,111300
TN1,Depo Tanto,111300
G002,GD.PELABUHAN YOS SUDARSO,120100
G003,GD.PELABUHAN TBBM WAYAME,120100
G004,GD. PELABUHAN OPIN,120100
G005,GD. PELABUHAN TULEHU,120100
G006,GD. Bandara Pattimura ,120100
G009,PELABUHAN NAMLEA,120100
G01,Grup Gudang,120100
G010,GD. PELABUHAN BULA,120100
GR002,GUDANG LUAR  KAWASAN PABEAN,120100
GR02,Gudang Luar Kawasan Pabean,120100
TPI,TEMPAT PENIMBUNAN IMPORTIR,120100
05,luar lokasi pabean,120200
GLDK,GUDANG DILUAR KAWASAN PABEAN,120200
GLX,GALELA,120200
GTBP,GUDANG PT. TRIMEGAH BANGUN PERSADA,120200
LLP,LUAR LOKASI PABEAN,120200
LPGP,LAPANGAN WEDA BAY NICKEL,120200
LTBP,LAPANGAN TRIMEGAH BANGUN PERSADA,120200
LWBN,LAPANGAN WEDA BAY NICKEL,120200
LWP,LAPANGAN WANATIARA PERSADA,120200
MSPO,Lapangan MSP Pulau OBI,120200
TPI,Tempat Penimbunan Importir,120200
BSU,Tangki PT. Bumi Sarana Utama,120300
GKLM,Gudang Kargo Lintas Megantara,120300
KBSQ,Kolam Bandar Sorong,120300
LINI,Diluar Kawasan Pabean,120300
PTRS,PT PETROSEA TBK,120300
TLKP,TEMPAT LAIN KAWASAN PABEAN,120300
CWSM,CAMP SAWMILL - MANOKWARI SELATAN,120400
MMKW,TEMPAT PENIMBUNAN MARUNI MANOKWARI,120400
1,PELABUHAN,120600
2,GUDANG KOYA TIMUR JAYAPURA,120600
ABUS,Apron Bandar Udara Sentani,120600
APLS,GUDANG PT. ANGKASA PURA LOGISTIK SENTANI,120600
APO,Pelabuhan APO Jayapura,120600
BPAJ,PELABUHAN APO JAYAPURA,120600
GKTJ,GUDANG KOYA TIMUR JAYAPURA,120600
GUDANG BANDARA SENTANI,GUDANG BANDARA SENTANI,120600
GUDANG KOYA TIMUR JAYAPURA,GUDANG KOYA TIMUR JAYAPURA,120600
HAVJ,HANGGAR ADVENTIST AVIATION JAYAPURA,120600
HGMS,HANGGAR MAF SENTANI,120600
HPUS,HANGGAR POLISI UDARA SENTANI,120600
HYJS,HANGGAR YAJASI SENTANI,120600
IDSJ,PT. AMA KOMP. BANDARA SENTANI,120600
JYPR,GUDANG PELABUHAN JAYAPURA,120600
LJYP,LAPANGAN PENIMBUNAN PELABUAHN JAYAPURA,120600
MAF,Hanggar MAF,120600
SDAS,SANGGAR DIMONIM AIR SENTANI,120600
STNI,GUDANG BANDARA SENTANI,120600
TLKB,TELKOM BASE G,120600
001,KAWASAN PABEAN,120700
002,LUAR KAWASAN PABEAN,120700
MOP,BANDARA MOPAH,120700
CDAP,CARGO DOCK - AMAMAPARE,120800
MKAP,MOSES KILANGIN - AMAMAPARE,120800
PMKO,PELABUHAN POMAKO,120800
01,SINAR JAYA WIJAYA,120900
02,SINAR WIJAYA PLYWOOD INDUSTRIES,120900
05,BIK1,120900
BIK1,BIAK,120900
KB,SINAR WIJAYA PLYWOOD INDUSTRIES,120900
NB1,NABIRE BARU,120900
SER1,SERUI,120900
DOBO,DOBO,121000
LUV,TUAL,121000
PLNS,PLN Saumlaki,121000
SIS,SIS Tual,121000
SMLX,SAUMLAKI,121000
LNGC,LNG COMBO DOCK,122300
LNGJ,LNG JETI,122300
LNGT,LNG TANGGUH,122300
LNGT-I,LNG TANK I,122300
LNGT-II,LNG TANK II,122300
TL,TEMPAT LAIN DI LUAR KAWASAN PABEAN,122300
GBB2,Gudang GBB2 Perum Bulog,130100
GLCI,Gudang penimbunan PT. Lafarge Cement Indonesia,130100
GPMH,Gudang penimbunan PT. Pelindo Malahayati,130100
GSIM,gudang cargo bandara SIM,130100
GSIM01,GUDANG CARGO BANDARA SIM,130100
TABS,Tangki penimbunan PT. Asphalt Bangun Sarana,130100
TSAU,Tangki penimbunan PT. Sarana Aceh Utama,130100
GDMPG,GUDANG MPG NAGAN RAYA,130400
GMPG,PT. MEULABOH POWER GENERATION,130400
TCSI,PT Calang Sejati Indah,130400
003,KRUENG GEUKUH,130500
AMB,Aceh Makmur Bersama,130500
G001,GROUP 001,130500
G002,Gudang Pelabuhan,130500
GALF,GUDANG ALFATA,130500
GARUN,Gudang Arun,130500
GBBI,Gudang Beras Bulog Lhokseumawe,130500
GBBL,GUDANG BERAS BULOG LHOKSEUMAWE,130500
GEPS,GUDANG ENERGI PULAU SUJA,130500
GGP,Great Giant Pineapple,130500
GGP3,GUDANG GREAT GIANT PINEAPPLE,130500
GKKA,Gudang KKA ,130500
GLSW,GUDANG LHOKSEUMAWE,130500
GPTK,Pertamina Trans Kontinental,130500
GTIP,Gudang Importir Teguh,130500
KTS,Karya Tanah Subur,130500
P001,Premier Oil,130500
P002,Premier Oil 2,130500
PIM,Pupuk Iskandar Muda,130500
PIM01,PUPUK ISKANDAR MUDA,130500
SJI,Sukses Jaya Internusa,130500
TK01,Tangki Penimbunan Aspal Krueng Geukeuh,130500
0001,Gudang PT Pelindo,130600
0002,Pelabuhan Kuala Langsa,130600
0304,TANGKI PT. AMI,130600
DL1,GD DOULTON,150300
A001,MARUNDA,160200
GKPI, KAPUK NIAGA INDONESIA,160200
KEPS,KEPULAUAN SERIBU,160200
cj01,cj logistik,160200
cluster 1,cluster 1,160200
sg02,sarana gemilang KBN marunda,160200
BWX,BANDARA BLIMBINGSARI,160700
CBWI,CANDRIAN BANYUWANGI,160700
PM,PUSLATPUR MARINIR 5,160700
STIN,TUKS PT. Summitama Intinusa,160700
TJWG,Tanjung Wangi,160700
TPM,TANKI PERTAMINA,160700